total_chars_name,total_chars_description,total_chars_username,name_equals_username,total_numbers_name,total_numbers_username,total_emojis_name,total_emojis_username,total_words_description,total_emojis_description,total_numbers_description,total_words_name,followers,friends,age,gen,org
5.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,37.0,280.0,0.0,M,N
12.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,116.0,103.0,3.0,M,N
8.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,424.0,664.0,2.0,M,N
6.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,6.0,13.0,0.0,U,Y
18.0,0.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,1.0,M,N
11.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,56.0,0.0,U,Y
5.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,M,N
23.0,0.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,33.0,0.0,U,Y
28.0,114.0,9.0,0.0,0.0,2.0,0.0,0.0,15.0,9.0,0.0,4.0,5397.0,1667.0,1.0,F,N
25.0,89.0,14.0,0.0,0.0,0.0,1.0,0.0,12.0,2.0,2.0,4.0,16.0,33.0,0.0,F,N
12.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,949.0,1.0,F,N
14.0,66.0,12.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,2.0,3.0,542.0,1330.0,0.0,M,N
12.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,440.0,629.0,0.0,M,N
23.0,9.0,15.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0,127.0,3.0,M,N
9.0,49.0,14.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,2.0,84.0,412.0,2.0,F,N
8.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1405.0,1162.0,0.0,F,N
28.0,21.0,13.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,3.0,102.0,138.0,0.0,M,N
1.0,31.0,7.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,1.0,1213.0,952.0,3.0,M,N
3.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,1149.0,1324.0,0.0,F,N
4.0,41.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,43.0,71.0,0.0,M,N
18.0,17.0,14.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,3144.0,3647.0,3.0,M,N
4.0,37.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,1.0,951.0,791.0,1.0,M,N
26.0,40.0,17.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,148.0,1717.0,1.0,F,N
20.0,40.0,11.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,5.0,141.0,218.0,1.0,M,N
24.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,82.0,292.0,2.0,F,N
5.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,29.0,1.0,F,N
23.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,444.0,3520.0,3.0,M,N
16.0,84.0,16.0,1.0,3.0,3.0,0.0,0.0,13.0,7.0,3.0,1.0,405.0,5.0,0.0,M,N
7.0,23.0,15.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,178.0,879.0,0.0,M,N
13.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,21.0,3.0,M,N
6.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,376.0,924.0,0.0,F,N
23.0,74.0,9.0,0.0,0.0,0.0,1.0,0.0,13.0,3.0,5.0,3.0,830.0,995.0,0.0,F,N
26.0,141.0,18.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,3.0,13632.0,181.0,1.0,F,N
