total_chars_name,total_chars_description,total_chars_username,name_equals_username,total_numbers_name,total_numbers_username,total_emojis_name,total_emojis_username,total_words_description,total_emojis_description,total_numbers_description,total_words_name,followers,friends,age,gen,org,bot_score
5.0,39.0,14.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,110.0,672.0,0.0,F,N,0.6984964138229305
5.0,17.0,11.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,196.0,154.0,0.0,F,N,1.1159498457283616
22.0,69.0,9.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,3.0,3.0,393.0,235.0,2.0,U,Y,0.6228678605982174
14.0,153.0,13.0,0.0,0.0,2.0,0.0,0.0,23.0,0.0,0.0,2.0,2675.0,942.0,2.0,M,N,0.4197395703245143
6.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,18.0,2.0,F,N,4.918262747195421
13.0,22.0,15.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,2.0,40.0,9.0,3.0,M,N,2.493001725293796
11.0,97.0,7.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,2.0,15.0,93.0,2.0,F,N,3.557537658118875
6.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,663.0,675.0,0.0,F,N,1.678643237003259
7.0,0.0,14.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,F,N,4.963483848533051
8.0,25.0,14.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,103.0,175.0,0.0,M,N,1.9272159038398704
15.0,29.0,10.0,0.0,0.0,1.0,0.0,0.0,5.0,9.0,0.0,2.0,335.0,423.0,1.0,F,N,0.4332535867330239
9.0,0.0,10.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,41.0,3.0,U,Y,4.969857142857143
12.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,35.0,55.0,1.0,F,N,4.80713208954573
10.0,0.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,28.0,3.0,M,N,4.912242845947156
6.0,40.0,9.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1040.0,424.0,3.0,M,N,0.7742834316611097
11.0,51.0,15.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,2.0,242.0,315.0,0.0,M,N,1.6505271364287033
15.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,35.0,304.0,1.0,M,N,3.156255082926566
14.0,47.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,2.0,31.0,243.0,1.0,F,N,1.1657554793332283
7.0,0.0,8.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,58.0,913.0,1.0,F,N,3.949902657763813
16.0,123.0,14.0,0.0,0.0,2.0,2.0,0.0,19.0,0.0,0.0,3.0,65.0,77.0,1.0,F,N,1.290205888664736
12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,206.0,480.0,1.0,M,N,2.626497534422972
20.0,108.0,11.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,3.0,466.0,773.0,0.0,M,N,0.0280624533126738
9.0,111.0,15.0,0.0,2.0,4.0,1.0,0.0,2.0,1.0,14.0,2.0,948.0,831.0,1.0,F,N,0.9737272040139366
7.0,29.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,5.0,18.0,0.0,M,N,3.469922879918282
17.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,98.0,101.0,1.0,F,N,3.201191430030242
10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,129.0,1.0,F,N,3.556468600031671
10.0,53.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,5529.0,888.0,3.0,M,N,0.4466257077857927
7.0,42.0,8.0,0.0,0.0,5.0,0.0,0.0,9.0,1.0,0.0,1.0,162.0,582.0,1.0,F,N,1.6664554407479175
15.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.0,32.0,0.0,M,N,4.632317181113582
3.0,51.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,4.0,16.0,1.0,F,N,3.27694634097333
12.0,6.0,12.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,17.0,18.0,0.0,F,N,4.364205476606107
17.0,68.0,15.0,0.0,0.0,5.0,1.0,0.0,12.0,4.0,0.0,2.0,0.0,34.0,0.0,F,N,4.636378458603629
10.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,F,N,4.7115219539232704
5.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,37.0,280.0,0.0,M,N,4.431935391299893
